mediaID,deploymentID,captureMethod,timestamp,filePath,filePublic,fileName,fileMediatype,exifData,favorite,mediaComments
1c94708f-f60e-4f91-8b78-524ec40e991e,r0039-dona_0067,activityDetection,2025-11-04T14:06:28+00:00,images/r0039-dona_0067/R0039-DONA_0067__20251104_97.JPEG,false,R0039-DONA_0067__20251104_97.JPEG,image/jpeg,,,
0502af83-0f27-412c-835e-bbb56433a8de,r0039-dona_0067,activityDetection,2025-11-04T14:06:31+00:00,images/r0039-dona_0067/R0039-DONA_0067__20251104_98.JPEG,false,R0039-DONA_0067__20251104_98.JPEG,image/jpeg,,,
ba6f7a50-ef1f-40a9-85ee-7b97f6f8c37e,r0039-dona_0067,activityDetection,2025-11-04T14:06:33+00:00,images/r0039-dona_0067/R0039-DONA_0067__20251104_99.JPEG,false,R0039-DONA_0067__20251104_99.JPEG,image/jpeg,,,
2f40b992-ba0a-4e5c-a3d8-2bc626c05ded,r0039-dona_0067,activityDetection,2025-11-04T14:06:34+00:00,images/r0039-dona_0067/R0039-DONA_0067__20251104_100.JPEG,false,R0039-DONA_0067__20251104_100.JPEG,image/jpeg,,,
66bd93ae-8b70-45b5-b16b-b6263caa6309,r0039-dona_0067,activityDetection,2025-11-04T14:06:36+00:00,images/r0039-dona_0067/R0039-DONA_0067__20251104_101.JPEG,false,R0039-DONA_0067__20251104_101.JPEG,image/jpeg,,,
913b0249-b055-4fd9-a624-06158fd06336,r0039-dona_0067,activityDetection,2025-11-04T14:06:38+00:00,images/r0039-dona_0067/R0039-DONA_0067__20251104_102.JPEG,false,R0039-DONA_0067__20251104_102.JPEG,image/jpeg,,,
81790128-f9a5-458c-8df7-c7ebe56ef653,r0039-dona_0067,activityDetection,2025-11-11T07:47:28+00:00,images/r0039-dona_0067/R0039-DONA_0067__20251111_106.JPEG,false,R0039-DONA_0067__20251111_106.JPEG,image/jpeg,,,
f71f7b28-1da6-488f-b61d-dec5600d99e9,r0039-dona_0067,activityDetection,2025-11-11T07:47:30+00:00,images/r0039-dona_0067/R0039-DONA_0067__20251111_107.JPEG,false,R0039-DONA_0067__20251111_107.JPEG,image/jpeg,,,
b294c1ef-8056-4a28-a5c2-5557e691e3d6,r0039-dona_0067,activityDetection,2025-11-11T07:47:32+00:00,images/r0039-dona_0067/R0039-DONA_0067__20251111_108.JPEG,false,R0039-DONA_0067__20251111_108.JPEG,image/jpeg,,,
85a03bc4-0657-4362-869a-1dc9db9fad4b,r0039-dona_0067,activityDetection,2025-11-11T07:47:33+00:00,images/r0039-dona_0067/R0039-DONA_0067__20251111_109.JPEG,false,R0039-DONA_0067__20251111_109.JPEG,image/jpeg,,,
acb0b3c2-e761-417b-82e1-38f9cd0be3f8,r0039-dona_0067,activityDetection,2025-11-11T07:47:35+00:00,images/r0039-dona_0067/R0039-DONA_0067__20251111_110.JPEG,false,R0039-DONA_0067__20251111_110.JPEG,image/jpeg,,,
96b0b3f5-899b-4c4d-b9fd-f9218c8ad6d9,r0039-dona_0067,activityDetection,2025-11-11T07:47:37+00:00,images/r0039-dona_0067/R0039-DONA_0067__20251111_111.JPEG,false,R0039-DONA_0067__20251111_111.JPEG,image/jpeg,,,
134e3950-d58e-4837-aad9-25697869ce01,r0039-dona_0067,activityDetection,2025-11-12T04:49:42+00:00,images/r0039-dona_0067/R0039-DONA_0067__20251112_112.JPEG,false,R0039-DONA_0067__20251112_112.JPEG,image/jpeg,,,
c7bd3aad-5deb-4286-b1ec-9d14b35a0b38,r0039-dona_0067,activityDetection,2025-11-12T04:49:44+00:00,images/r0039-dona_0067/R0039-DONA_0067__20251112_113.JPEG,false,R0039-DONA_0067__20251112_113.JPEG,image/jpeg,,,
fe91b2c6-4284-48d4-b7a7-9dad56e70f13,r0039-dona_0067,activityDetection,2025-11-12T04:49:47+00:00,images/r0039-dona_0067/R0039-DONA_0067__20251112_114.JPEG,false,R0039-DONA_0067__20251112_114.JPEG,image/jpeg,,,
9644f534-7b7a-49ab-82b4-b2b198cd7cc7,r0039-dona_0067,activityDetection,2025-11-12T04:49:48+00:00,images/r0039-dona_0067/R0039-DONA_0067__20251112_115.JPEG,false,R0039-DONA_0067__20251112_115.JPEG,image/jpeg,,,
5350036d-ddd4-4d9f-a715-b94d14c0bbdc,r0039-dona_0067,activityDetection,2025-11-12T04:49:51+00:00,images/r0039-dona_0067/R0039-DONA_0067__20251112_116.JPEG,false,R0039-DONA_0067__20251112_116.JPEG,image/jpeg,,,
3cd49a0f-982c-45d8-9fa1-1cbf99c7d60e,r0039-dona_0067,activityDetection,2025-11-12T04:49:53+00:00,images/r0039-dona_0067/R0039-DONA_0067__20251112_117.JPEG,false,R0039-DONA_0067__20251112_117.JPEG,image/jpeg,,,
7a89310a-561a-4ce5-bcb7-680e66ba8ebe,r0039-dona_0067,activityDetection,2025-11-12T04:49:54+00:00,images/r0039-dona_0067/R0039-DONA_0067__20251112_118.JPEG,false,R0039-DONA_0067__20251112_118.JPEG,image/jpeg,,,
9dfe2158-6724-495a-b431-b986cff35586,r0039-dona_0067,activityDetection,2025-11-12T04:49:56+00:00,images/r0039-dona_0067/R0039-DONA_0067__20251112_119.JPEG,false,R0039-DONA_0067__20251112_119.JPEG,image/jpeg,,,
9cbb32a6-d8e5-46a0-9c4b-6d0ec37ba0fc,r0039-dona_0067,activityDetection,2025-11-12T04:49:59+00:00,images/r0039-dona_0067/R0039-DONA_0067__20251112_120.JPEG,false,R0039-DONA_0067__20251112_120.JPEG,image/jpeg,,,
204e51bf-d863-499f-9a75-d41d8a52f4f4,r0039-dona_0067,activityDetection,2025-11-12T04:50:15+00:00,images/r0039-dona_0067/R0039-DONA_0067__20251112_121.JPEG,false,R0039-DONA_0067__20251112_121.JPEG,image/jpeg,,,
1680c04d-7ef2-46ab-ad61-10860495fab0,r0039-dona_0067,activityDetection,2025-11-12T04:50:18+00:00,images/r0039-dona_0067/R0039-DONA_0067__20251112_122.JPEG,false,R0039-DONA_0067__20251112_122.JPEG,image/jpeg,,,
35b9ba15-2c3b-4c15-b29a-bb982279c768,r0039-dona_0067,activityDetection,2025-11-12T04:50:20+00:00,images/r0039-dona_0067/R0039-DONA_0067__20251112_123.JPEG,false,R0039-DONA_0067__20251112_123.JPEG,image/jpeg,,,
4e17a047-742b-43d3-9da1-155e32bef79d,r0039-dona_0067,activityDetection,2025-11-12T04:50:22+00:00,images/r0039-dona_0067/R0039-DONA_0067__20251112_124.JPEG,false,R0039-DONA_0067__20251112_124.JPEG,image/jpeg,,,
998dd3af-1d7c-4f93-929c-bdaf6347103d,r0039-dona_0067,activityDetection,2025-11-12T04:50:25+00:00,images/r0039-dona_0067/R0039-DONA_0067__20251112_125.JPEG,false,R0039-DONA_0067__20251112_125.JPEG,image/jpeg,,,
1cf87726-3bea-4b02-a919-f2a3b410ec0e,r0039-dona_0067,activityDetection,2025-11-12T04:50:27+00:00,images/r0039-dona_0067/R0039-DONA_0067__20251112_126.JPEG,false,R0039-DONA_0067__20251112_126.JPEG,image/jpeg,,,
9e1ea623-f3f9-4a18-b135-057933ad7629,r0039-dona_0067,activityDetection,2025-11-12T04:50:58+00:00,images/r0039-dona_0067/R0039-DONA_0067__20251112_127.JPEG,false,R0039-DONA_0067__20251112_127.JPEG,image/jpeg,,,
5f5b9c5c-4392-4378-9d69-9aacad102b61,r0039-dona_0067,activityDetection,2025-11-12T04:51:00+00:00,images/r0039-dona_0067/R0039-DONA_0067__20251112_128.JPEG,false,R0039-DONA_0067__20251112_128.JPEG,image/jpeg,,,
acbd31f8-0c6d-447e-9eb6-f93dcd5abceb,r0039-dona_0067,activityDetection,2025-11-12T04:51:02+00:00,images/r0039-dona_0067/R0039-DONA_0067__20251112_129.JPEG,false,R0039-DONA_0067__20251112_129.JPEG,image/jpeg,,,
01048f4f-7742-4026-81d1-81ad593cfbde,r0039-dona_0067,activityDetection,2025-11-12T18:22:44+00:00,images/r0039-dona_0067/R0039-DONA_0067__20251112_130.JPEG,false,R0039-DONA_0067__20251112_130.JPEG,image/jpeg,,,
932fcc99-d104-427c-b208-d897a83b7ab1,r0039-dona_0067,activityDetection,2025-11-12T18:22:47+00:00,images/r0039-dona_0067/R0039-DONA_0067__20251112_131.JPEG,false,R0039-DONA_0067__20251112_131.JPEG,image/jpeg,,,
